date,total,ountry
2021-01-1,807670000,China
2021-02-1,1242400000,China
2021-03-1,11324207000,China
2021-04-1,56011180000,China
2021-05-1,132401420000,China
2021-06-1,285835360000,China
2021-07-1,448124700000,China
2021-08-1,581952320000,China
2021-09-1,296830050000,China
2021-01-1,283232060,India
2021-02-1,2377621470,India
2021-03-1,11660068610,India
2021-04-1,30381301110,India
2021-05-1,54325453010,India
2021-06-1,79300554070,India
2021-07-1,155934668110,India
2021-08-1,155934668110,India
2021-09-1,98896714530,India
2021-01-1,3805422860,United States
2021-02-1,14155241870,United States
2021-03-1,34708630670,United States
2021-04-1,59739431530,United States
2021-05-1,81184360340,United States
2021-06-1,93558757710,United States
2021-07-1,101077513410,United States
2021-08-1,110877365250,United States
2021-09-1,45225438840,United States
2021-01-1,114417040,Brazil
2021-02-1,1488795370,Brazil
2021-03-1,3490449930,Brazil
2021-04-1,8129265940,Brazil
2021-05-1,13481419420,Brazil
2021-06-1,19660857080,Brazil
2021-07-1,34510755310,Brazil
2021-08-1,36852853330,Brazil
2021-09-1,22485146820,Brazil
